"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000000000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000001000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000001000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"83","1.977232000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"84","1.977232000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=544 Win=64240 Len=0"
"97","2.222310000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"98","2.222321000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"99","2.222322000","124.6.36.194","443","192.168.91.128","49180","TCP","597","[TCP segment of a reassembled PDU]"
"100","2.222585000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=544 Ack=3464 Win=64240 Len=0"
"105","2.320049000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","247","Application Data"
"106","2.320609000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"107","2.320773000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=1087 Win=64240 Len=0"
"109","2.369648000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"110","2.369649000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=2144 Win=64240 Len=0"
"115","2.422571000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"116","2.422572000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=3201 Win=64240 Len=0"
"121","2.584420000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"122","2.592257000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3201 Ack=4200 Win=63504 Len=0"
"127","2.618974000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"128","2.619088000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"129","2.619400000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3201 Ack=7120 Win=64240 Len=0"
"130","2.660824000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"131","2.666289000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"132","2.666309000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=8580 Ack=3744 Win=64240 Len=0"
"133","2.684541000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"134","2.684542000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"135","2.685034000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=11500 Win=64240 Len=0"
"136","2.694600000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"137","2.694600000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"138","2.695087000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=14420 Win=64240 Len=0"
"139","2.695087000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"140","2.697255000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"141","2.697618000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=17340 Win=64240 Len=0"
"146","2.718520000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"147","2.718521000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"148","2.718521000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"149","2.719355000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=21720 Win=64240 Len=0"
"150","2.758688000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"151","2.758688000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"152","2.758688000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"153","2.759175000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=26100 Win=64240 Len=0"
"154","2.782843000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"155","2.782844000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"156","2.782844000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"157","2.783219000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=30480 Win=64240 Len=0"
"158","2.792599000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"159","2.792600000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"160","2.792600000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"161","2.792940000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=34860 Win=64240 Len=0"
"162","2.795298000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"163","2.795514000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"164","2.795515000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"165","2.796005000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3744 Ack=39240 Win=64240 Len=0"
"166","2.796005000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"167","2.796005000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=39240 Ack=4287 Win=64240 Len=0"
"168","2.800323000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"169","2.800323000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=39240 Ack=5344 Win=64240 Len=0"
"174","2.816522000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"175","2.816996000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"176","2.816997000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"177","2.816998000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"178","2.816999000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=45080 Win=64240 Len=0"
"179","2.857047000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
