"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000018000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000022000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000025000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"53","1.275843000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"54","1.275900000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=544 Win=64240 Len=0"
"63","1.456370000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"64","1.456852000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"65","1.456874000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"66","1.456953000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=544 Ack=3464 Win=64240 Len=0"
"71","1.554537000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","247","Application Data"
"72","1.567883000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=544 Ack=3657 Win=64047 Len=0"
"73","1.574137000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"74","1.574220000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=1601 Win=64240 Len=0"
"75","1.603477000","192.168.91.128","49180","124.6.36.194","443","TCP","1514","[TCP segment of a reassembled PDU]"
"76","1.603492000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","679","Application Data"
"77","1.603548000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=3061 Win=64240 Len=0"
"78","1.603565000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=3686 Win=64240 Len=0"
"83","1.625901000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"84","1.625970000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=4743 Win=64240 Len=0"
"85","1.672395000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"86","1.672455000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3657 Ack=5800 Win=64240 Len=0"
"91","1.787301000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"92","1.798210000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5800 Ack=4200 Win=63504 Len=0"
"97","1.814590000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data, Application Data"
"98","1.814686000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"99","1.814695000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"100","1.814890000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5800 Ack=8580 Win=64240 Len=0"
"101","1.842422000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"102","1.846732000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"103","1.846792000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=10040 Ack=6343 Win=64240 Len=0"
"104","1.890362000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"105","1.897493000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"106","1.897616000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=6343 Ack=12960 Win=64240 Len=0"
"111","1.912402000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"112","1.912489000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"113","1.912494000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"114","1.912584000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=6343 Ack=17340 Win=64240 Len=0"
"115","1.912665000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"116","1.912673000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"117","1.912678000","124.6.36.194","443","192.168.91.128","49180","TCP","223","[TCP segment of a reassembled PDU]"
"118","1.912741000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=6343 Ack=20429 Win=64240 Len=0"
"119","1.945041000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"120","1.945071000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"121","1.945153000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=6343 Ack=23349 Win=64240 Len=0"
"122","1.948712000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"123","1.948776000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=23349 Ack=7400 Win=64240 Len=0"
"124","1.952379000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"125","1.952424000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=23349 Ack=7943 Win=64240 Len=0"
"126","1.995534000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"127","1.995697000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"128","1.995705000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"129","1.995811000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7943 Ack=27729 Win=64240 Len=0"
"134","2.010495000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"135","2.010506000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"136","2.010511000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"137","2.010620000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7943 Ack=32109 Win=64240 Len=0"
"138","2.010623000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"139","2.010709000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7943 Ack=33569 Win=64240 Len=0"
"140","2.010757000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"141","2.010768000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"142","2.010782000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"143","2.010786000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"144","2.010800000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1181","Application Data"
"145","2.011030000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7943 Ack=40536 Win=64240 Len=0"
"146","2.011256000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"147","2.011291000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=40536 Ack=8486 Win=64240 Len=0"
"148","2.017912000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"149","2.017955000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=40536 Ack=9029 Win=64240 Len=0"
"150","2.059551000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"151","2.059565000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"152","2.059569000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"153","2.060021000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=9029 Ack=44916 Win=64240 Len=0"
"154","2.093516000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"155","2.093530000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"156","2.093658000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=9029 Ack=47836 Win=64240 Len=0"
"157","2.093779000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"158","2.093788000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"159","2.093858000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"160","2.093887000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=9029 Ack=50756 Win=64240 Len=0"
"165","2.108267000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
