"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000000000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000000000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000001000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"37","0.837463000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"38","0.837464000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1058 Win=64240 Len=0"
"49","1.021596000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"50","1.039544000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=544 Win=63697 Len=0"
"128","2.983487000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"129","2.983487000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=544 Ack=1601 Win=64240 Len=0"
"143","3.236880000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"144","3.238600000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"145","3.238765000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1601 Ack=2547 Win=64240 Len=0"
"150","3.336590000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1193","Application Data"
"151","3.352333000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1601 Ack=3686 Win=63101 Len=0"
"152","3.390938000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"153","3.390939000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3686 Ack=2658 Win=64240 Len=0"
"158","3.436588000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"159","3.436589000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3686 Ack=3715 Win=64240 Len=0"
"164","3.545332000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"165","3.555418000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3715 Ack=4229 Win=64240 Len=0"
"166","3.568825000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"167","3.568826000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"168","3.569173000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3715 Ack=7149 Win=64240 Len=0"
"173","3.632626000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"174","3.636921000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"175","3.636922000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=8609 Ack=4258 Win=64240 Len=0"
"176","3.666721000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","959","Application Data"
"177","3.680339000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4258 Ack=9514 Win=63335 Len=0"
"178","3.684274000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data, Application Data"
"179","3.684654000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"180","3.684740000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4258 Ack=12434 Win=64240 Len=0"
"185","3.772008000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"186","3.772254000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"187","3.772254000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"188","3.772609000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4258 Ack=16814 Win=64240 Len=0"
"189","3.777166000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"190","3.777167000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=16814 Ack=4801 Win=64240 Len=0"
"191","3.782399000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","95","Application Data"
"192","3.782822000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"193","3.782823000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=16855 Ack=5344 Win=64240 Len=0"
"194","3.807661000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"195","3.807662000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"196","3.808216000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=19775 Win=64240 Len=0"
"201","3.819630000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"202","3.819631000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"203","3.819632000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"204","3.820849000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=24155 Win=64240 Len=0"
"205","3.832748000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"206","3.832749000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"207","3.838484000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=27075 Win=64240 Len=0"
"208","3.870273000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"209","3.870273000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"210","3.870274000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"211","3.870276000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"212","3.870762000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=32915 Win=64240 Len=0"
"213","3.871786000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"214","3.871787000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=32915 Ack=5887 Win=64240 Len=0"
"215","3.906093000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"216","3.906094000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"217","3.906095000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"218","3.906098000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"219","3.906615000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5887 Ack=38755 Win=64240 Len=0"
