"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000001000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000001000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000001000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"79","1.852650000","192.168.91.128","49180","124.6.36.194","443","TCP","1514","[TCP segment of a reassembled PDU]"
"80","1.852651000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","165","Application Data"
"81","1.852711000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"82","1.852711000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1572 Win=64240 Len=0"
"91","2.098109000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"96","2.111037000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1572 Ack=544 Win=64240 Len=0"
"98","2.158204000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data, Application Data"
"99","2.158205000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"100","2.158935000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1572 Ack=3464 Win=64240 Len=0"
"105","2.245855000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1362","Application Data"
"106","2.251840000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
