"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","192.168.91.128","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000000000","146.57.254.72","192.168.91.128","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000000000","146.57.254.72","192.168.91.128","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000001000","23.38.132.228","192.168.91.128","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"98","2.411490000","192.168.91.128","124.6.36.194","TLSv1.2","1111","Application Data"
"99","2.411491000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1058 Win=64240 Len=0"
"108","2.545054000","192.168.91.128","124.6.36.194","TLSv1.2","1111","Application Data"
"109","2.545075000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=1 Ack=2115 Win=64240 Len=0"
"118","2.727727000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"119","2.738255000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2115 Ack=544 Win=63154 Len=0"
"124","2.859056000","124.6.36.194","192.168.91.128","TLSv1.2","1514","Application Data, Application Data"
"125","2.859057000","124.6.36.194","192.168.91.128","TCP","1514","[TCP segment of a reassembled PDU]"
"126","2.859302000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2115 Ack=3464 Win=64240 Len=0"
"127","2.860240000","124.6.36.194","192.168.91.128","TLSv1.2","1514","Application Data"
"128","2.868573000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2115 Ack=4924 Win=64240 Len=0"
"129","2.877001000","124.6.36.194","192.168.91.128","TLSv1.2","1444","Application Data"
"130","2.881586000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"131","2.881642000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=6314 Ack=2658 Win=64240 Len=0"
"144","3.141322000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"145","3.151786000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2658 Ack=6857 Win=64240 Len=0"
"170","3.730981000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"171","3.741608000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2658 Ack=7400 Win=63697 Len=0"
"184","4.077974000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"185","4.088026000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2658 Ack=7943 Win=63154 Len=0"
"194","4.240806000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"195","4.242706000","124.6.36.194","192.168.91.128","TCP","1514","[TCP segment of a reassembled PDU]"
"196","4.242707000","124.6.36.194","192.168.91.128","TCP","1514","[TCP segment of a reassembled PDU]"
"197","4.242956000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2658 Ack=11406 Win=64240 Len=0"
"202","4.340427000","124.6.36.194","192.168.91.128","TLSv1.2","247","Application Data"
"203","4.342247000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2658 Ack=11599 Win=64047 Len=0"
"204","4.395421000","124.6.36.194","192.168.91.128","TLSv1.2","1514","Application Data"
"205","4.406293000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2658 Ack=13059 Win=64240 Len=0"
"210","4.489775000","124.6.36.194","192.168.91.128","TLSv1.2","194","Application Data"
"211","4.494300000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"212","4.494308000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=13199 Ack=3201 Win=64240 Len=0"
"245","5.322223000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"250","5.332351000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=3201 Ack=13742 Win=63557 Len=0"
"351","7.885814000","192.168.91.128","124.6.36.194","TLSv1.2","1111","Application Data"
"352","7.885814000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=13742 Ack=4258 Win=64240 Len=0"
"353","7.885815000","192.168.91.128","124.6.36.194","TLSv1.2","1111","Application Data"
"354","7.885815000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=13742 Ack=5315 Win=64240 Len=0"
