"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000001000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000001000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000001000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"65","1.533442000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"66","1.546609000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1 Ack=544 Win=63154 Len=0"
"83","1.958851000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"84","1.958877000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=544 Ack=544 Win=64240 Len=0"
"97","2.246416000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"98","2.246652000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"99","2.246653000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"100","2.246937000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=544 Ack=4007 Win=64240 Len=0"
"105","2.344671000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","247","Application Data"
"106","2.360183000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=544 Ack=4200 Win=64047 Len=0"
"107","2.399441000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
