"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000000000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000000000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000000000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"81","1.915098000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"82","1.915098000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1058 Win=64240 Len=0"
"464","11.421947000","192.168.91.128","49180","124.6.36.194","443","TCP","1514","[TCP segment of a reassembled PDU]"
"465","11.421948000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","679","Application Data"
"466","11.421948000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=2518 Win=64240 Len=0"
"467","11.421948000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=3143 Win=64240 Len=0"
"476","11.618314000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"477","11.623266000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"478","11.623294000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=544 Ack=3686 Win=64240 Len=0"
"483","11.721350000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"484","11.733542000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"485","11.733543000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"486","11.733843000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=3686 Ack=4007 Win=64240 Len=0"
"491","11.805702000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"492","11.811000000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"493","11.811001000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=5467 Ack=4229 Win=64240 Len=0"
"494","11.811001000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"495","11.811001000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=5467 Ack=4772 Win=64240 Len=0"
"496","11.831607000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","416","Application Data"
"497","11.835536000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"498","11.835537000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=5829 Ack=5315 Win=64240 Len=0"
"507","12.012250000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"508","12.022936000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5315 Ack=6372 Win=63335 Len=0"
"513","12.094095000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"514","12.094254000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"515","12.094517000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5315 Ack=9292 Win=64240 Len=0"
"521","12.161538000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","819","Application Data"
"522","12.179841000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5315 Ack=10057 Win=63475 Len=0"
"527","12.243139000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"528","12.243140000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=10057 Ack=6372 Win=64240 Len=0"
"529","12.292738000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"530","12.292739000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=10057 Ack=7429 Win=64240 Len=0"
"539","12.507211000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"540","12.508069000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"541","12.508070000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"542","12.508438000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7429 Ack=13520 Win=64240 Len=0"
"547","12.606091000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1333","Application Data"
"548","12.609951000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"549","12.609959000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=14799 Ack=7972 Win=64240 Len=0"
"550","12.640647000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"551","12.640648000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"556","12.641013000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7972 Ack=17719 Win=64240 Len=0"
"557","12.661343000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"558","12.661344000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"559","12.661345000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"560","12.661617000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7972 Ack=22099 Win=64240 Len=0"
"561","12.670769000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"562","12.670770000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"563","12.671126000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7972 Ack=25019 Win=64240 Len=0"
"564","12.673285000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"565","12.676663000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7972 Ack=26479 Win=64240 Len=0"
"566","12.676663000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"567","12.678863000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=7972 Ack=27939 Win=64240 Len=0"
"568","12.688558000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"569","12.688559000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=27939 Ack=9029 Win=64240 Len=0"
"570","12.708364000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"571","12.708629000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"572","12.709642000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=9029 Ack=30859 Win=64240 Len=0"
"573","12.738775000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
