"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000000000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000000000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000000000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"73","1.722884000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"74","1.722885000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1058 Win=64240 Len=0"
"85","1.925928000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"86","1.941557000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=544 Win=63697 Len=0"
"91","2.038011000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"92","2.038197000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"93","2.038515000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=3464 Win=64240 Len=0"
"94","2.074324000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1333","Application Data"
"95","2.081029000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"96","2.081486000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=4743 Ack=1601 Win=64240 Len=0"
"97","2.081486000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"98","2.081487000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=4743 Ack=2144 Win=64240 Len=0"
"111","2.325438000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"112","2.331993000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=2144 Ack=5286 Win=64240 Len=0"
"117","2.470117000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data, Application Data"
"118","2.470117000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"119","2.470486000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=2144 Ack=8206 Win=64240 Len=0"
"120","2.473515000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","305","Application Data"
"121","2.488721000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=2144 Ack=8457 Win=63989 Len=0"
"126","2.531654000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"127","2.531655000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=8457 Ack=3201 Win=64240 Len=0"
"128","2.587949000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"129","2.587950000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=8457 Ack=4258 Win=64240 Len=0"
"138","2.725306000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"139","2.738650000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4258 Ack=9000 Win=63446 Len=0"
"144","2.814545000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data, Application Data"
"145","2.815091000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"146","2.815091000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"147","2.815640000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4258 Ack=13380 Win=64240 Len=0"
"148","2.819562000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"149","2.819850000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4258 Ack=14840 Win=64240 Len=0"
"150","2.819897000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"151","2.823494000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"152","2.823494000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=16300 Ack=4801 Win=64240 Len=0"
"153","2.868763000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"154","2.872111000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","235","Application Data"
"155","2.872323000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=4801 Ack=17941 Win=64240 Len=0"
"156","2.876141000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"157","2.876141000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=17941 Ack=5344 Win=64240 Len=0"
"162","2.996922000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"163","3.001608000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"164","3.001827000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=19944 Win=64240 Len=0"
"165","3.001916000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"166","3.005115000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"167","3.005144000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"168","3.006534000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=24324 Win=64240 Len=0"
"173","3.011151000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"174","3.011518000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=25784 Win=64240 Len=0"
"175","3.014020000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"176","3.014033000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"177","3.024842000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=28704 Win=64240 Len=0"
"178","3.024843000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"179","3.024844000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"180","3.024844000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"181","3.024846000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5344 Ack=33084 Win=64240 Len=0"
"182","3.025751000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"183","3.025752000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=33084 Ack=6401 Win=64240 Len=0"
"184","3.099849000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"185","3.099850000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
