"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000014000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000017000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000019000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"88","2.075519000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"89","2.075578000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=544 Win=64240 Len=0"
"98","2.239513000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"99","2.243520000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"100","2.243534000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"101","2.243629000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=544 Ack=3464 Win=64240 Len=0"
"102","2.263033000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"103","2.263091000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3464 Ack=1601 Win=64240 Len=0"
"104","2.264033000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"105","2.264125000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3464 Ack=2658 Win=64240 Len=0"
"106","2.265013000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"107","2.265086000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3464 Ack=3201 Win=64240 Len=0"
"112","2.341361000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","305","Application Data"
"113","2.344791000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"114","2.344848000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3715 Ack=4258 Win=64240 Len=0"
"115","2.387180000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"116","2.387239000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=3715 Ack=5315 Win=64240 Len=0"
"129","2.651426000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"130","2.652099000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"131","2.652157000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5315 Ack=5718 Win=64240 Len=0"
"132","2.652165000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"133","2.653752000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"134","2.653856000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"135","2.653998000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=5315 Ack=10098 Win=64240 Len=0"
"136","2.654224000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
